dt,Date,time,instrument,individual,canopy,period,condition,gsw_m,gsw_sd,gbw_m,gtw,E_apparent_m,VPcham_m,VPref_m,VPleaf_m,VPDleaf_m,Fs_m,Fm'_m,Fm'_sd,rh_s_m,rh_r_m,Tleaf_m,flow_m,flow_s_m
2026-06-22T19:00:00Z,2026-06-22,12:00:00,PSA-00618,3,Lower,midday,predrought,0.09030033333333333,0.023090538329223368,2.9195699999999998,0.08748033333333333,1.437114,3.828624,3.794257,5.208255,1.3796313333333332,30.596852666666667,150.581604,0.9715703344812446,94.57000000000001,93.72333333333333,33.54,156.46666666666667,154.83333333333334
2026-06-24T19:00:00Z,2026-06-24,12:00:00,PSA-00618,3,Lower,midday,predrought,-0.065332,0.004420298519331019,2.9198103333333334,-0.066832,-0.4252086666666667,4.632948666666667,4.643032333333333,5.165468333333333,0.53252,72.78346766666667,282.5578513333333,13.4059718038231,93.99333333333334,94.2,33.39333333333333,156.46666666666667,154.3
2026-06-30T19:00:00Z,2026-06-30,12:00:00,PSA-00618,3,Lower,midday,predrought,-0.028749000000000004,0.05239402290338088,2.761382333333333,-0.029747666666666665,-0.132823,4.1770483333333335,4.18062,4.615668333333334,0.43861966666666663,39.945244,192.477824,2.0671426087503035,95.59,95.66666666666667,31.4,139.36666666666665,138.3
2026-07-02T19:00:00Z,2026-07-02,12:00:00,PSA-00618,3,Lower,midday,drought,-0.008352,0.026049602223450555,2.920088333333333,-0.008531666666666667,-0.12317366666666667,3.8132986666666664,3.8162423333333333,4.89558,1.0822813333333334,92.45502966666666,379.93784566666665,47.86916968072574,90.82000000000001,90.89,32.43666666666667,156.5,155.03333333333333
2026-07-03T19:00:00Z,2026-07-03,12:00:00,PSA-00618,3,Lower,midday,drought,0.013588000000000001,0.0032188692113846442,2.7161353333333333,0.013517666666666666,0.5775013333333334,3.6697736666666665,3.653735,7.240090333333333,3.570316666666667,107.77604433333333,438.48238100000003,19.901247077752583,95.74,95.32333333333334,39.553333333333335,135.1,134.5
2026-07-07T19:00:00Z,2026-07-07,12:00:00,PSA-00618,3,Lower,midday,drought,-0.017987666666666666,0.010429766360438441,2.738649333333333,-0.018134333333333332,-0.17488833333333334,4.058970333333334,4.063761333333333,4.856632,0.7976613333333333,81.96437333333333,344.7260133333333,19.358803239345672,94.50333333333333,94.61333333333333,32.29666666666667,137.2,136.4
2026-07-08T19:00:00Z,2026-07-08,12:00:00,PSA-00618,3,Lower,midday,drought,-0.0318,0.002926713002670402,2.5860339999999997,-0.032198333333333336,-0.33318433333333336,4.475469666666667,4.485481666666667,5.339915666666666,0.864446,74.633718,350.00050833333336,8.807396909817127,94.95,95.16333333333333,33.986666666666665,124.03333333333333,123.06666666666666
2026-07-09T19:00:00Z,2026-07-09,12:00:00,PSA-00618,3,Lower,midday,drought,-0.11879533333333334,0.004635150195337083,2.8613906666666664,-0.123947,-1.1571556666666667,4.4095526666666665,4.438297333333334,5.190601333333333,0.781049,162.09578433333334,363.5230916666667,17.346692481486798,95.36666666666666,95.99333333333334,33.480000000000004,149.63333333333333,148.03333333333333
2026-07-13T19:00:00Z,2026-07-13,12:00:00,PSA-00618,3,Lower,midday,drought,-0.22372233333333333,0.013461382705106236,2.872449,-0.24267833333333333,-1.1715656666666667,3.993885,4.022956,4.401685,0.4078003333333333,87.76998666666667,397.126607,42.000691970110026,95.81666666666666,96.51333333333334,30.566666666666666,150.9,149.53333333333333
2026-07-14T19:00:00Z,2026-07-14,12:00:00,PSA-00618,3,Lower,midday,drought,-0.17479733333333333,0.017850870464303226,2.8709386666666665,-0.18622866666666668,-0.9092113333333334,4.347348,4.369869333333333,4.757512,0.41016433333333335,91.99035133333334,396.386729,41.25696657239274,96.3,96.8,31.933333333333334,150.70000000000002,149.26666666666668
2026-07-15T19:00:00Z,2026-07-15,12:00:00,PSA-00618,3,Lower,midday,drought,-0.3126736666666667,0.011950586108360254,2.900391,-0.35050866666666664,-1.2417256666666667,3.6150366666666667,3.645289,3.9154786666666666,0.30044166666666666,123.73209133333333,485.82402533333334,20.97389286960835,95.72666666666666,96.52666666666667,28.54,154.13333333333333,153
2026-07-16T19:00:00Z,2026-07-16,12:00:00,PSA-00618,3,Lower,midday,recovery,0.03845133333333333,0.030152211350634523,2.918454666666667,0.03775133333333333,0.2722906666666667,3.8404583333333333,3.833941,4.451487333333334,0.611029,112.118365,475.196218,24.2992748274228,84.00666666666666,83.86333333333333,30.766666666666666,156.26666666666668,154.4
2026-06-22T15:00:00Z,2026-06-22,08:00:00,PSA-00618,3,Lower,morning,predrought,0.001759,0.03741579306923749,2.919566666666667,0.0014396666666666679,0.01994866666666666,2.4687493333333332,2.4682613333333334,3.207003,0.7382536666666667,149.303673,559.786092,42.772664689199715,77.10333333333334,77.09333333333333,25.146666666666665,156.46666666666667,155.13333333333333
2026-06-24T15:00:00Z,2026-06-24,08:00:00,PSA-00618,3,Lower,morning,predrought,0.06479933333333333,0.044054453490349116,2.919687,0.06297866666666667,0.424045,3.099044666666667,3.088794,3.6849176666666668,0.5858733333333334,100.40688833333333,471.441498,4.3602909733346955,87.60666666666667,87.32000000000001,27.496666666666666,156.43333333333334,154.96666666666667
2026-06-30T15:00:00Z,2026-06-30,08:00:00,PSA-00618,3,Lower,morning,predrought,-0.09260433333333333,0.02137654699275197,2.9024543333333335,-0.09577,-0.409926,3.3279506666666667,3.337916,3.6934126666666667,0.3654616666666667,105.81302633333333,467.4733273333333,15.286391184333006,92.92,93.19666666666667,27.536666666666665,154.36666666666667,153.06666666666666
2026-07-01T15:00:00Z,2026-07-01,08:00:00,PSA-00618,3,Lower,morning,drought,0.048056,0.01311323404046462,2.920564333333333,0.047241,0.398571,2.496945,2.487292666666667,3.222032,0.725087,106.47988099999999,491.673167,3.416343117570166,78.08,77.78,25.223333333333333,156.53333333333333,155.33333333333334
2026-07-02T15:00:00Z,2026-07-02,08:00:00,PSA-00618,3,Lower,morning,drought,0.0014116666666666668,0.004224135572319304,2.9200056666666665,0.0014073333333333334,0.012824666666666665,2.8212083333333333,2.820898,3.631614,0.810406,105.301262,489.5420226666667,5.3452822550841494,82.04666666666667,82.03666666666666,27.25,156.5,155.2
2026-07-03T15:00:00Z,2026-07-03,08:00:00,PSA-00618,3,Lower,morning,drought,0.022171333333333335,0.007970453207524235,2.9199433333333333,0.021990333333333334,0.15653266666666665,2.6355006666666667,2.6317016666666664,3.2403513333333334,0.6048503333333334,104.438545,470.999715,27.493182202166462,87.33333333333333,87.20666666666666,25.316666666666666,156.5,155.63333333333333
2026-07-07T15:00:00Z,2026-07-07,08:00:00,PSA-00618,3,Lower,morning,drought,-0.006758666666666667,0.003970931167035427,1.9830453333333333,-0.006787666666666667,-0.06767566666666666,3.171777,3.174808,4.008077,0.8363,104.80666366666667,501.8309833333334,26.530738824009546,88.08666666666667,88.17,28.94,84.23333333333333,83.56666666666666
2026-07-08T15:00:00Z,2026-07-08,08:00:00,PSA-00618,3,Lower,morning,drought,-0.0015533333333333332,0.004098517089549991,2.4271683333333334,-0.0015589999999999998,-0.013522333333333332,3.380109,3.3805626666666666,4.0857019999999995,0.7055933333333333,98.54495466666667,481.5338136666667,9.205681094577495,87.87666666666667,87.88666666666667,29.273333333333333,112.03333333333333,111.3
2026-07-09T15:00:00Z,2026-07-09,08:00:00,PSA-00618,3,Lower,morning,drought,0.005415,0.010584352460117718,2.54956,0.0053739999999999994,0.04213033333333333,3.332481666666667,3.331171,4.0138050000000005,0.6813233333333333,101.23407766666666,481.333954,20.053863514048825,87.39,87.35666666666667,28.966666666666665,121.16666666666667,120.46666666666667
2026-07-13T15:00:00Z,2026-07-13,08:00:00,PSA-00618,3,Lower,morning,drought,0.015491333333333334,0.005699157949498622,2.741926,0.015396666666666666,0.103191,2.9585963333333334,2.955752,3.536248,0.5776516666666667,110.95368966666666,491.700175,17.597507309439457,82.15666666666667,82.07666666666667,26.796666666666667,137.46666666666667,136.76666666666668
2026-07-14T15:00:00Z,2026-07-14,08:00:00,PSA-00618,3,Lower,morning,drought,-0.010774,0.004521282671985905,2.712070666666667,-0.010822333333333333,-0.07165633333333334,3.1390373333333335,3.14105,3.7034030000000002,0.5643653333333334,99.97606400000001,474.7016193333333,22.578387720589568,85.92333333333333,85.97666666666666,27.583333333333332,134.73333333333332,134.13333333333333
2026-07-15T15:00:00Z,2026-07-15,08:00:00,PSA-00618,3,Lower,morning,drought,0.023407,0.0050111975614617315,2.7628113333333335,0.023204333333333334,0.16649833333333333,2.806308,2.801786,3.4211453333333335,0.6148376666666667,107.735275,489.36612933333333,8.29324248206092,85.44333333333333,85.30666666666667,26.233333333333334,139.46666666666667,138.96666666666667
2026-07-16T15:00:00Z,2026-07-16,08:00:00,PSA-00618,3,Lower,morning,recovery,0.043185,0.02520224170584831,2.5675833333333333,0.04231566666666667,0.202747,3.3074666666666666,3.301247,3.721831,0.41436433333333333,98.01209,451.43120333333337,22.22903113502594,86.46333333333334,86.3,27.666666666666668,122.53333333333333,121.96666666666667
2026-06-24T13:00:00Z,2026-06-24,06:00:00,PSA-00618,3,Upper,early,predrought,-0.04608266666666667,0.01309857859973109,2.918534,-0.046863,-0.31327333333333335,3.0596173333333336,3.067194,3.636346666666667,0.576729,152.85813633333333,516.5069276666667,10.712238426420999,85.91666666666667,86.13,27.266666666666666,156.33333333333334,155.03333333333333
2026-06-30T13:00:00Z,2026-06-30,06:00:00,PSA-00618,3,Upper,early,predrought,-0.14320833333333333,0.03014748257041264,2.918810666666667,-0.15083933333333333,-1.0572963333333334,2.9473006666666666,2.9727816666666667,3.540655,0.5933543333333333,164.166687,550.3123983333334,12.641363090938505,83.42,84.14,26.816666666666666,156.33333333333334,155.13333333333333
2026-07-01T13:00:00Z,2026-07-01,06:00:00,PSA-00618,3,Upper,early,drought,-0.007500333333333333,0.023237086356368633,2.9192736666666668,-0.007644333333333332,-0.077823,2.3557283333333334,2.3576156666666668,3.240689,0.8849603333333333,109.54189333333333,517.072886,8.841152303496601,70.68,70.73666666666666,25.323333333333334,156.4,155.13333333333333
